node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
MENDOTA_1_B1,RED,157.37845882352943,18597321.06,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,36.755896,-120.365422,Covanta Mendota,0.1234234159004529
ADERAG1_7_N001,RED,147.8468409803922,18597321.06,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,37.120586,-120.32488,Adera Solar,0.1369528779347466
VALLEYSC_1_N038,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_N101,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_N102,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_N001,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_N013,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_N029,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_N230,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_5_B1,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_NBT1,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
VALLEYSC_1_N108,RED,143.52022034313725,254513695.55,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.1363046311348348
